Users,Number of Posts,Number of Followers,Number of Followings,Number of Likes for the Tenth Previous Post,Number of Likes for the Eleventh Previous Post,Number of Likes for the Twelfth Previous Post,Number of Self-Presenting Posts from Nine Previous Posts, Gender
User-238,53,742,392,209,207,191,9,f
User-239,140,500,398,41,54,51,9,m
User-240,90,837,826,70,57,89,8,m
User-241,88,313,235,78,65,18,9,m
User-242,81,240,549,24,28,35,5,f
User-243,267,767,"1,008",11,16,43,1,m
User-244,559,"1,282","1,010",54,179,104,8,f
User-245,174,449,309,54,73,42,9,m
User-246,34,340,"1,613",26,15,15,7,m
User-247,317,708,468,83,58,80,8,f
User-248,716,638,356,88,73,57,9,m
User-249,67,149,275,13,9,12,3,m
User-250,"1,638","2,933",357,96,49,157,2,m
User-251,998,"1,278","1,924",53,58,35,8,m
User-252,937,855,"1,531",32,80,90,3,f
User-253,182,626,522,123,87,86,6,m
User-254,234,"3,005","2,834",418,395,315,4,m
User-255,"2,326","2,570","1,625",25,14,7,2,f
User-256,243,407,570,11,30,18,5,f
User-257,445,583,"2,217",46,104,113,7,m
User-258,"1,358","8,493","6,855",565,421,275,9,m
User-259,742,639,"2,540",51,37,27,5,m
User-260,507,991,638,200,100,168,7,m
User-261,77,130,365,16,12,15,9,m
User-262,406,224,743,19,13,17,1,m
User-263,55,156,190,6,25,44,2,m
User-264,765,"1,302",806,119,106,151,9,m
User-265,337,217,623,5,13,6,5,m
User-266,321,210,323,49,55,49,2,m
User-267,234,"8,368","6,954",281,233,252,5,m
User-268,551,380,410,20,19,39,4,f
User-269,733,"1,046","1,814",44,30,27,5,m
User-270,"1,441","1,745","7,412",103,65,92,5,m
User-271,869,336,479,24,25,20,2,m
User-272,218,146,155,39,44,12,4,m
User-273,284,"2,851",823,185,163,149,8,m
User-274,592,528,648,36,36,58,6,m
User-275,139,436,649,60,32,40,4,m
User-276,331,336,526,108,40,73,3,f
User-277,183,116,170,29,48,30,8,f
User-278,72,411,"1,607",77,76,114,7,m
User-279,"4,004","3,055","3,287",151,83,109,5,m
User-280,242,166,246,28,37,49,7,m
User-281,155,950,"2,307",54,55,73,9,m
User-282,156,126,310,23,10,11,6,m
User-283,"2,189","2,103","2,463",6,30,17,6,f
User-284,131,623,"2,194",50,73,75,3,m
User-285,192,511,"1,500",37,44,36,9,m
User-286,103,271,377,29,12,29,7,f
User-287,538,221,409,14,17,4,0,m
User-288,592,936,982,70,37,35,2,m
User-289,321,"1,660","1,475",100,172,154,9,m
User-290,468,"1,585","4,720",136,185,147,5,m
User-291,"1,108",964,"2,268",74,84,94,4,m
User-292,269,536,311,63,104,60,5,m
User-293,192,662,"2,201",20,24,49,7,f
User-294,107,"1,247","1,167",47,90,61,5,m
User-295,726,847,"1,197",112,80,108,6,f
User-296,"1,319","1,331",879,14,51,21,2,f
User-297,"1,143","5,064",495,103,117,89,8,f
User-298,122,430,"2,077",116,98,129,9,m
User-299,243,"1,276",162,61,23,74,7,f
User-300,605,397,"1,350",28,12,11,0,m
User-301,255,"1,039","2,498",83,78,104,7,m
User-302,"1,718",942,"1,076",29,11,39,8,m
User-303,"1,204",379,"1,695",8,4,16,3,m
User-304,402,"2,425","3,817",196,146,117,7,m
User-305,458,"4,859","3,362",583,479,552,4,m
User-306,498,"2,405","4,708",69,68,80,9,m
User-307,314,"2,330","2,438",72,56,131,1,m
User-308,76,"1,276",500,104,52,119,5,m
User-309,215,818,260,39,98,106,6,m
User-310,105,"2,361","2,244",255,463,344,9,f
User-311,207,203,627,16,6,25,6,m
User-312,439,"1,127",999,15,28,45,2,m
User-313,136,"1,073","4,180",95,75,44,4,f
User-314,190,"2,007","6,530",33,45,54,1,f
User-315,163,254,359,27,25,23,2,f
User-316,816,"1,247",701,85,80,71,3,m
User-317,66,145,209,7,7,5,6,f
User-318,105,"1,138","4,140",74,89,101,0,f
User-319,379,752,509,25,11,46,6,f
User-320,511,880,"7,497",61,51,64,3,m
User-321,371,"4,846","1,559",343,233,295,7,f
User-322,677,883,801,66,114,69,6,f
User-323,194,82,83,1,1,0,8,f
User-324,254,478,978,123,54,17,9,m
User-325,97,257,500,8,23,3,7,m
User-326,121,"5,248","2,600",399,340,649,8,m
User-327,71,218,315,17,12,18,1,f
User-328,128,"1,300","1,137",477,517,493,9,m
User-329,494,"8,257","1,575",448,653,649,6,m
User-330,139,"1,179",171,116,101,125,8,m
User-331,357,743,735,72,122,103,9,f
User-332,207,758,510,26,16,25,5,f
User-333,65,138,298,18,9,11,3,f
User-334,228,"1,156","1,421",45,41,65,8,f
User-335,160,303,241,45,52,43,1,f
User-336,368,"7,682","3,980",883,519,940,6,f
User-337,494,"1,179",803,119,11,111,8,m
User-338,96,"1,071",405,101,173,104,6,f
User-339,274,354,576,18,14,19,2,f
User-340,812,"6,249","1,106",34,30,41,6,f
User-341,"1,603",765,"2,189",27,49,29,3,f
User-342,179,"1,830","3,381",129,80,78,9,f
User-343,311,677,949,35,17,44,6,f
User-344,251,"6,383","3,052",55,129,150,4,f
User-345,437,264,507,9,3,6,4,f
User-346,312,"8,869",854,95,71,151,6,f
User-347,316,917,680,61,38,52,6,f
User-348,"1,257","1,315","2,922",116,136,116,7,f
User-349,198,295,429,11,34,24,4,f
